model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,Emilly__2025109_13326718.jpg,YES,1.0,"The image features an adult woman in lingerie, which falls under the ""18-plus-girls"" niche as it involves mature female subjects.","VERDICT: YES
PROBABILITY: 1.0
REASON: The image features an adult woman in lingerie, which falls under the ""18-plus-girls"" niche as it involves mature female subjects."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,1.0,"The image features a young adult woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche that includes content related to adult women.","VERDICT: YES
PROBABILITY: 1.0
REASON: The image features a young adult woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche that includes content related to adult women."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,1.0,"The image features a young adult woman in revealing lingerie, which falls under the ""18-plus-girls"" niche as it includes content intended for adult audiences.","VERDICT: YES
PROBABILITY: 1.0
REASON: The image features a young adult woman in revealing lingerie, which falls under the ""18-plus-girls"" niche as it includes content intended for adult audiences."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.95,"The image features a young adult woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche that includes content featuring young women.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young adult woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche that includes content featuring young women."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.95,"The image features a young woman in a suggestive pose with makeup and attire that aligns with content typically associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in a suggestive pose with makeup and attire that aligns with content typically associated with the ""18-plus-girls"" niche."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.95,"The image features a young adult woman who appears to be 18 or older, fitting the ""18-plus-girls"" niche as she is presented in a manner consistent with adult content or lifestyle imagery.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young adult woman who appears to be 18 or older, fitting the ""18-plus-girls"" niche as she is presented in a manner consistent with adult content or lifestyle imagery."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.95,"The image features a young adult woman with mature styling and presentation, fitting the ""18-plus-girls"" niche which includes content related to young women of legal adult age.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young adult woman with mature styling and presentation, fitting the ""18-plus-girls"" niche which includes content related to young women of legal adult age."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.95,"The image features a young woman in a revealing bikini in a shower setting, which aligns with the ""18-plus-girls"" niche that includes content featuring young women in suggestive or intimate scenarios.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in a revealing bikini in a shower setting, which aligns with the ""18-plus-girls"" niche that includes content featuring young women in suggestive or intimate scenarios."
Qwen/Qwen3-Omni-30B-A3B-Instruct,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.95,"The image features a woman in revealing lingerie and stockings, which falls under the ""18-plus-girls"" niche as it involves adult-themed content.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a woman in revealing lingerie and stockings, which falls under the ""18-plus-girls"" niche as it involves adult-themed content."
Qwen/Qwen3-Omni-30B-A3B-Instruct,anal,LaDea91_2030046_13331822.jpg,YES,0.95,"The image shows a person using a black anal plug, which is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person using a black anal plug, which is directly related to the ""anal"" niche."
