model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
nvidia/Eagle2.5-8B,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.95,"The image depicts a young adult woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a young adult woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.95,"The image depicts a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.95,"The image features a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.95,"The image depicts a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.95,"The image depicts a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.95,"The image depicts a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.95,"The image features a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.8,"The image shows a person in a shower, which could be considered relevant to the ""18-plus-girls"" niche due to the context of personal hygiene and bathing.","VERDICT: YES
PROBABILITY: 0.8
REASON: The image shows a person in a shower, which could be considered relevant to the ""18-plus-girls"" niche due to the context of personal hygiene and bathing."
nvidia/Eagle2.5-8B,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.95,"The image prominently features a person who appears to be an adult woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image prominently features a person who appears to be an adult woman, which aligns with the ""18-plus-girls"" niche."
nvidia/Eagle2.5-8B,anal,LaDea91_2030046_13331822.jpg,YES,0.95,"The image contains explicit content that is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image contains explicit content that is directly related to the ""anal"" niche."
nvidia/Eagle2.5-8B,anal,LaDea91_2030061_12882692.jpg,YES,0.95,"The image shows explicit content that is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows explicit content that is directly related to the ""anal"" niche."
