model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
Qwen/Qwen2.5-Omni-7B,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.95,"The image features a woman in lingerie, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a woman in lingerie, which is commonly associated with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.95,"The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.95,"The image features a young woman in revealing attire, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in revealing attire, which is commonly associated with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.95,"The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.95,"The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman in a suggestive pose, which aligns with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.95,"The image features a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman, which aligns with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.95,"The image features a young woman, which aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a young woman, which aligns with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.95,"The image depicts a person in a bikini, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a person in a bikini, which is commonly associated with the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.95,"The image depicts a nude woman, which is directly related to the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts a nude woman, which is directly related to the ""18-plus-girls"" niche."
Qwen/Qwen2.5-Omni-7B,anal,LaDea91_2030046_13331822.jpg,YES,0.9,"The image depicts a sexual act involving the insertion of a dildo, which is indirectly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a sexual act involving the insertion of a dildo, which is indirectly related to the ""anal"" niche."
