model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
mistralai/Pixtral-12B-2409,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.9,"The image features a person in lingerie, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a person in lingerie, which is commonly associated with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.9,"The image features a young woman in a suggestive pose and attire, which is consistent with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman in a suggestive pose and attire, which is consistent with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.9,"The image features a young woman in lingerie, which is directly related to the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman in lingerie, which is directly related to the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.9,"The image features a young woman in a suggestive pose, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman in a suggestive pose, which is commonly associated with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.9,"The image features a young woman posing in a suggestive manner, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman posing in a suggestive manner, which is commonly associated with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.9,"The image features a young woman posing in a manner that aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman posing in a manner that aligns with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.9,"The image features a young woman posing in a manner that is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman posing in a manner that is commonly associated with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.9,"The image depicts a person in a suggestive pose in a shower setting, which is commonly associated with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a suggestive pose in a shower setting, which is commonly associated with the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.9,"The image features a partially nude individual in a suggestive pose, which is directly related to the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a partially nude individual in a suggestive pose, which is directly related to the ""18-plus-girls"" niche."
mistralai/Pixtral-12B-2409,anal,LaDea91_2030046_13331822.jpg,YES,0.9,"The image depicts a person in a suggestive pose with a sex toy near their anal area, which is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a suggestive pose with a sex toy near their anal area, which is directly related to the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,LaDea91_2030061_12882692.jpg,YES,0.9,"The image depicts a person in a suggestive pose with a focus on the buttocks, which is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a suggestive pose with a focus on the buttocks, which is directly related to the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,LaDea91_2049344_12882706.jpg,YES,0.8,"The image features a person in a provocative pose wearing high heels, which is commonly associated with intimate or erotic contexts that might indirectly relate to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.8
REASON: The image features a person in a provocative pose wearing high heels, which is commonly associated with intimate or erotic contexts that might indirectly relate to the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,LaDea91_2049350_11664460.jpg,YES,0.9,"The image features a person in a suggestive pose wearing lingerie, which is often associated with intimate or erotic contexts that can include the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a person in a suggestive pose wearing lingerie, which is often associated with intimate or erotic contexts that can include the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,LaDea91_2049350_11664463.jpg,YES,0.9,"The image features a person in a provocative pose that is commonly associated with the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a person in a provocative pose that is commonly associated with the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,Luxiole_1976771_13282357.jpg,YES,0.9,The image contains objects commonly associated with anal play in the context of intimate or sexual activities.,"VERDICT: YES
PROBABILITY: 0.9
REASON: The image contains objects commonly associated with anal play in the context of intimate or sexual activities."
mistralai/Pixtral-12B-2409,anal,XAureLyonX_2018393_13320251.jpg,YES,0.9,"The image depicts a close-up of a person's buttocks with a focus on the anal area, which is directly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a close-up of a person's buttocks with a focus on the anal area, which is directly related to the ""anal"" niche."
mistralai/Pixtral-12B-2409,anal,sexyanneina_2027718_13329277.jpg,YES,0.9,"The image depicts a sexual act involving the anal region, which directly relates to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a sexual act involving the anal region, which directly relates to the ""anal"" niche."
