model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
claude-sonnet-4-5-20250929,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.95,"Image shows an adult woman in lingerie in a suggestive pose, which aligns with adult-oriented content featuring women 18+.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows an adult woman in lingerie in a suggestive pose, which aligns with adult-oriented content featuring women 18+."
claude-sonnet-4-5-20250929,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.95,"Image shows an adult woman in a shower/bathroom setting, which aligns with content featuring young adult women (18+). The intimate nature and composition are consistent with this niche category.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows an adult woman in a shower/bathroom setting, which aligns with content featuring young adult women (18+). The intimate nature and composition are consistent with this niche category."
claude-sonnet-4-5-20250929,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.95,"Image depicts an adult woman in lingerie/intimate apparel in a suggestive pose, which aligns with 18+ adult content featuring young women.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image depicts an adult woman in lingerie/intimate apparel in a suggestive pose, which aligns with 18+ adult content featuring young women."
claude-sonnet-4-5-20250929,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.95,"Image features a young adult woman in casual attire posing for the camera in an indoor setting, which aligns with the niche definition of content featuring young adult women (18+).","VERDICT: YES
PROBABILITY: 0.95
REASON: Image features a young adult woman in casual attire posing for the camera in an indoor setting, which aligns with the niche definition of content featuring young adult women (18+)."
claude-sonnet-4-5-20250929,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.95,"Image features a young adult woman in lingerie posing for the camera, which aligns with the 18+ young adult women content definition.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image features a young adult woman in lingerie posing for the camera, which aligns with the 18+ young adult women content definition."
claude-sonnet-4-5-20250929,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.95,"Image shows a young adult woman in a posed indoor setting, consistent with adult-oriented content featuring women 18+.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows a young adult woman in a posed indoor setting, consistent with adult-oriented content featuring women 18+."
claude-sonnet-4-5-20250929,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.95,"Image shows a young adult woman in a glamour/portrait style photo with professional makeup and styling, consistent with adult female modeling content.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows a young adult woman in a glamour/portrait style photo with professional makeup and styling, consistent with adult female modeling content."
claude-sonnet-4-5-20250929,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.95,"Image shows a young adult woman in a casual portrait photo, which aligns with the niche definition of content featuring young adult women (18+).","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows a young adult woman in a casual portrait photo, which aligns with the niche definition of content featuring young adult women (18+)."
claude-sonnet-4-5-20250929,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.95,"Image shows a young adult woman in a posed selfie-style photo with makeup and styling typical of adult social media content, fitting the 18+ young adult woman category.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows a young adult woman in a posed selfie-style photo with makeup and styling typical of adult social media content, fitting the 18+ young adult woman category."
claude-sonnet-4-5-20250929,anal,LaDea91_2030046_13331822.jpg,YES,0.95,"The image explicitly shows anal penetration with a sex toy, which directly matches the niche definition of content depicting anal sexual activity.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly shows anal penetration with a sex toy, which directly matches the niche definition of content depicting anal sexual activity."
claude-sonnet-4-5-20250929,anal,LaDea91_2030061_12882692.jpg,YES,0.95,"The image shows a person with a visible anal plug inserted, which is a device specifically used for anal sexual activity. This clearly depicts anal-related sexual content.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person with a visible anal plug inserted, which is a device specifically used for anal sexual activity. This clearly depicts anal-related sexual content."
claude-sonnet-4-5-20250929,anal,LaDea91_2049344_12882706.jpg,NO,0.1,"The image shows a person posing in lingerie in a kitchen setting. While suggestive, it does not specifically depict anal sexual activity as defined by the niche criteria.","VERDICT: NO
PROBABILITY: 0.1
REASON: The image shows a person posing in lingerie in a kitchen setting. While suggestive, it does not specifically depict anal sexual activity as defined by the niche criteria."
claude-sonnet-4-5-20250929,anal,LaDea91_2049350_11664460.jpg,NO,0.15,"The image shows a person in lingerie posing on a chair, but does not depict or specifically suggest anal sexual activity. It's suggestive/erotic content but not specifically related to the defined niche.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows a person in lingerie posing on a chair, but does not depict or specifically suggest anal sexual activity. It's suggestive/erotic content but not specifically related to the defined niche."
claude-sonnet-4-5-20250929,anal,LaDea91_2049350_11664463.jpg,NO,0.1,"The image shows a person in lingerie posing in what appears to be an office or home setting. While suggestive, there is no depiction of any sexual activity, anal or otherwise. It's a solo posed photograph without explicit sexual content.","VERDICT: NO
PROBABILITY: 0.1
REASON: The image shows a person in lingerie posing in what appears to be an office or home setting. While suggestive, there is no depiction of any sexual activity, anal or otherwise. It's a solo posed photograph without explicit sexual content."
claude-sonnet-4-5-20250929,anal,Luxiole_1976771_13282357.jpg,YES,0.95,"The image shows three butt plugs of varying sizes arranged on a paper towel, which are devices specifically designed for anal sexual activity.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows three butt plugs of varying sizes arranged on a paper towel, which are devices specifically designed for anal sexual activity."
claude-sonnet-4-5-20250929,anal,sexyanneina_2027718_13329277.jpg,YES,0.95,"The image explicitly shows anal penetration with a sex toy, which directly fits the definition of content depicting anal sexual activity.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly shows anal penetration with a sex toy, which directly fits the definition of content depicting anal sexual activity."
claude-sonnet-4-5-20250929,anal,sexyanneina_2027718_13329278.jpg,YES,0.95,"The image explicitly depicts anal penetration with a sex toy, which directly matches the niche definition of content specifically depicting anal sexual activity.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly depicts anal penetration with a sex toy, which directly matches the niche definition of content specifically depicting anal sexual activity."
claude-sonnet-4-5-20250929,anal,sexyanneina_2027718_13329279.jpg,YES,0.95,"The image explicitly shows a person engaging with a dildo positioned for anal penetration, which directly matches the niche definition of content depicting anal sexual activity.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly shows a person engaging with a dildo positioned for anal penetration, which directly matches the niche definition of content depicting anal sexual activity."
claude-sonnet-4-5-20250929,anal,sexydoll25_2003001_12926536.jpg,NO,0.2,"While the image shows exposed genitalia in a suggestive pose, there is no visible anal sexual activity depicted. The pose and angle are provocative but do not specifically show anal content as defined by the niche criteria.","VERDICT: NO
PROBABILITY: 0.2
REASON: While the image shows exposed genitalia in a suggestive pose, there is no visible anal sexual activity depicted. The pose and angle are provocative but do not specifically show anal content as defined by the niche criteria."
claude-sonnet-4-5-20250929,anal,XAureLyonX_2018393_13320251.jpg,NO,0.3,"While the image shows hands on buttocks in a suggestive pose, it does not specifically depict anal sexual activity itself, only a potentially preparatory position.","VERDICT: NO
PROBABILITY: 0.3
REASON: While the image shows hands on buttocks in a suggestive pose, it does not specifically depict anal sexual activity itself, only a potentially preparatory position."
claude-sonnet-4-5-20250929,bbw,Circe87_1981729_13287352.jpg,NO,0.15,"The subject in the image does not appear to be plus-size or a big beautiful woman. She has an average to slim body type, which does not match the bbw niche definition.","VERDICT: NO
PROBABILITY: 0.15
REASON: The subject in the image does not appear to be plus-size or a big beautiful woman. She has an average to slim body type, which does not match the bbw niche definition."
claude-sonnet-4-5-20250929,bbw,Circe87_1981729_13287353.jpg,NO,0.15,"The subject in the image does not appear to be plus-size or a big beautiful woman. She has an average to slim body type, which does not fit the BBW niche criteria.","VERDICT: NO
PROBABILITY: 0.15
REASON: The subject in the image does not appear to be plus-size or a big beautiful woman. She has an average to slim body type, which does not fit the BBW niche criteria."
claude-sonnet-4-5-20250929,bbw,Circe87_2052453_13350836.jpg,NO,0.15,The person in the image does not appear to be plus-size or fitting the BBW category based on visible body characteristics.,"VERDICT: NO
PROBABILITY: 0.15
REASON: The person in the image does not appear to be plus-size or fitting the BBW category based on visible body characteristics."
claude-sonnet-4-5-20250929,bbw,curvygranny1972_1979030_12936468.jpg,YES,0.95,"The image features a plus-size woman in full view, which aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a plus-size woman in full view, which aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women."
claude-sonnet-4-5-20250929,bbw,curvygranny1972_1979030_12977793.jpg,YES,0.95,"The image shows a plus-size woman in lingerie, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a plus-size woman in lingerie, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women."
claude-sonnet-4-5-20250929,bbw,curvygranny1972_1979030_13050787.jpg,YES,0.95,"The image shows a plus-size woman in lingerie and stockings, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a plus-size woman in lingerie and stockings, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women."
claude-sonnet-4-5-20250929,bbw,curvygranny1972_1979030_13051127.jpg,YES,0.95,"The image features a plus-size woman in intimate attire, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a plus-size woman in intimate attire, which directly aligns with the BBW (Big Beautiful Women) niche definition of content featuring plus-size women."
claude-sonnet-4-5-20250929,bbw,Lesptilou_2021919_13323777.jpg,NO,0.15,"The image shows a person of average or slim build, not a plus-size individual, which does not match the bbw niche definition.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows a person of average or slim build, not a plus-size individual, which does not match the bbw niche definition."
claude-sonnet-4-5-20250929,bbw,Lesptilou_2021919_13323778.jpg,NO,0.1,"The image shows a person taking a selfie, but they do not appear to be plus-size or fit the BBW category definition.","VERDICT: NO
PROBABILITY: 0.1
REASON: The image shows a person taking a selfie, but they do not appear to be plus-size or fit the BBW category definition."
claude-sonnet-4-5-20250929,bbw,Lesptilou_2021919_13323779.jpg,NO,0.1,The person in the image does not appear to be plus-size or a BBW based on visible body type and proportions.,"VERDICT: NO
PROBABILITY: 0.1
REASON: The person in the image does not appear to be plus-size or a BBW based on visible body type and proportions."
claude-sonnet-4-5-20250929,bbw,SensualMinx_1975333_9994849.jpg,NO,0.2,"The image shows a figure in a bathroom setting, but the body type visible does not clearly match the BBW (plus-size/big beautiful women) category. The physique appears more average or athletic rather than plus-size.","VERDICT: NO
PROBABILITY: 0.2
REASON: The image shows a figure in a bathroom setting, but the body type visible does not clearly match the BBW (plus-size/big beautiful women) category. The physique appears more average or athletic rather than plus-size."
claude-sonnet-4-5-20250929,bbw,SensualMinx_1986245_9601601.jpg,NO,0.15,"The image shows a person with a slim to average body type, not a plus-size or BBW body type as defined by the niche.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows a person with a slim to average body type, not a plus-size or BBW body type as defined by the niche."
claude-sonnet-4-5-20250929,bbw,SensualMinx_2024003_8382426.jpg,YES,0.95,"The image features a plus-size woman in underwear, which aligns with the BBW (Big Beautiful Women) content category definition.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image features a plus-size woman in underwear, which aligns with the BBW (Big Beautiful Women) content category definition."
claude-sonnet-4-5-20250929,bdsm,Cataleya_666_1987335_13292829.jpg,NO,0.15,"While the image has a suggestive pose and candlelit atmosphere, there are no clear indicators of bondage, discipline, dominance, submission, or sadomasochism elements that would definitively place it in the BDSM niche. It appears to be more of a sensual/artistic photograph.","VERDICT: NO
PROBABILITY: 0.15
REASON: While the image has a suggestive pose and candlelit atmosphere, there are no clear indicators of bondage, discipline, dominance, submission, or sadomasochism elements that would definitively place it in the BDSM niche. It appears to be more of a sensual/artistic photograph."
claude-sonnet-4-5-20250929,bdsm,Cataleya_666_1987335_13292830.jpg,NO,0.15,"The image shows an artistic nude photograph with candles in low lighting. While it has an intimate aesthetic, there are no visible elements of bondage, discipline, dominance, submission, or sadomasochism that would clearly indicate BDSM content.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows an artistic nude photograph with candles in low lighting. While it has an intimate aesthetic, there are no visible elements of bondage, discipline, dominance, submission, or sadomasochism that would clearly indicate BDSM content."
claude-sonnet-4-5-20250929,bdsm,Cataleya_666_1987335_13292831.jpg,NO,0.15,"The image shows an artistic nude photograph with candles in a dramatic lighting setup. While there are aesthetic elements that could appear in various contexts, there are no visible indicators of bondage, discipline, dominance, submission, or sadomasochism elements that would definitively classify this as BDSM content.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows an artistic nude photograph with candles in a dramatic lighting setup. While there are aesthetic elements that could appear in various contexts, there are no visible indicators of bondage, discipline, dominance, submission, or sadomasochism elements that would definitively classify this as BDSM content."
claude-sonnet-4-5-20250929,bdsm,Luxiole_1976732_13282295.jpg,YES,0.85,"The image shows a person wearing visible restraints/cuffs and a collar with chain/leash attachment, which are common BDSM accessories indicating elements of bondage and dominance/submission dynamics.","VERDICT: YES
PROBABILITY: 0.85
REASON: The image shows a person wearing visible restraints/cuffs and a collar with chain/leash attachment, which are common BDSM accessories indicating elements of bondage and dominance/submission dynamics."
claude-sonnet-4-5-20250929,bdsm,Luxiole_1976760_13282343.jpg,YES,0.95,"The image depicts explicit sexual content involving BDSM equipment (metal device/restraint) being used in a submissive/dominant context, which directly aligns with the niche definition of BDSM content.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image depicts explicit sexual content involving BDSM equipment (metal device/restraint) being used in a submissive/dominant context, which directly aligns with the niche definition of BDSM content."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2021247_13323316.jpg,YES,0.95,"The image clearly shows BDSM gear including a leather mask, collar with leash attachment, and leather harness, which are characteristic elements of bondage and dominance/submission practices central to BDSM culture.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image clearly shows BDSM gear including a leather mask, collar with leash attachment, and leather harness, which are characteristic elements of bondage and dominance/submission practices central to BDSM culture."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2021258_13323327.jpg,YES,0.95,"The image shows a person wearing restraints (chains/cuffs) on their wrists and waist in an intimate setting, which are characteristic elements of BDSM bondage practices.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person wearing restraints (chains/cuffs) on their wrists and waist in an intimate setting, which are characteristic elements of BDSM bondage practices."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2023431_12546096.jpg,YES,0.95,"Image shows person wearing restraints (wrist cuffs), collar, ball gag, and other bondage equipment, which are clear indicators of BDSM content involving restraint and dominance/submission themes.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image shows person wearing restraints (wrist cuffs), collar, ball gag, and other bondage equipment, which are clear indicators of BDSM content involving restraint and dominance/submission themes."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2023431_12546099.jpg,YES,0.95,"The image clearly depicts BDSM elements including visible bondage equipment (gag, restraints, harness-style lingerie), a setting with BDSM-themed decor, and overall aesthetic consistent with BDSM content presentation.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image clearly depicts BDSM elements including visible bondage equipment (gag, restraints, harness-style lingerie), a setting with BDSM-themed decor, and overall aesthetic consistent with BDSM content presentation."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2023431_12563456.jpg,YES,0.95,"The image shows a person wearing BDSM attire including a leather/latex outfit, collar with chain, restraints, and mask in what appears to be a dungeon-style setting with BDSM furniture and props visible in the background. These are clear indicators of BDSM content.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person wearing BDSM attire including a leather/latex outfit, collar with chain, restraints, and mask in what appears to be a dungeon-style setting with BDSM furniture and props visible in the background. These are clear indicators of BDSM content."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2023431_12563462.jpg,YES,0.95,"The image shows a person wearing a black leather collar/choker and black leather/latex outfit, which are common elements associated with BDSM fashion and aesthetic. The styling and attire are strongly indicative of BDSM culture and presentation.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person wearing a black leather collar/choker and black leather/latex outfit, which are common elements associated with BDSM fashion and aesthetic. The styling and attire are strongly indicative of BDSM culture and presentation."
claude-sonnet-4-5-20250929,bdsm,maite4ever_2023431_12563635.jpg,YES,0.85,"The image shows a person wearing a black collar with metal chains attached, long black gloves, and a black latex/PVC outfit - all common elements of BDSM aesthetic and fetish wear. The collar and chain combination is particularly indicative of dominance/submission dynamics central to BDSM culture.","VERDICT: YES
PROBABILITY: 0.85
REASON: The image shows a person wearing a black collar with metal chains attached, long black gloves, and a black latex/PVC outfit - all common elements of BDSM aesthetic and fetish wear. The collar and chain combination is particularly indicative of dominance/submission dynamics central to BDSM culture."
claude-sonnet-4-5-20250929,bdsm,SpartixXx_2021923_13323784.jpg,YES,0.95,"The image shows a person wearing explicit BDSM accessories including a spiked collar with a leash attachment, studded choker, and body chains, which are clear indicators of BDSM-related content involving dominance and submission themes.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image shows a person wearing explicit BDSM accessories including a spiked collar with a leash attachment, studded choker, and body chains, which are clear indicators of BDSM-related content involving dominance and submission themes."
claude-sonnet-4-5-20250929,bdsm,SpartixXx_2021923_13323785.jpg,YES,0.98,"The image clearly depicts BDSM elements including bondage restraints (gag, collar with leash), studded fetish wear, and chains, which are characteristic components of BDSM culture and practice.","VERDICT: YES
PROBABILITY: 0.98
REASON: The image clearly depicts BDSM elements including bondage restraints (gag, collar with leash), studded fetish wear, and chains, which are characteristic components of BDSM culture and practice."
claude-sonnet-4-5-20250929,bdsm,SpartixXx_2021923_13323786.jpg,YES,0.95,"Image contains multiple explicit BDSM elements including restraint equipment (gag, collar with leash), chains, studded attire, and submissive posturing typical of BDSM photography.","VERDICT: YES
PROBABILITY: 0.95
REASON: Image contains multiple explicit BDSM elements including restraint equipment (gag, collar with leash), chains, studded attire, and submissive posturing typical of BDSM photography."
claude-sonnet-4-5-20250929,big-cock,BlueEye_Girl_2051498_13349966.jpg,YES,0.95,"The image explicitly shows large male genitalia being used in a sexual context, which directly matches the niche definition of content prominently featuring large male genitalia.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly shows large male genitalia being used in a sexual context, which directly matches the niche definition of content prominently featuring large male genitalia."
claude-sonnet-4-5-20250929,big-cock,BlueEye_Girl_2051498_13349967.jpg,NO,0.15,"The image shows a dildo/sex toy rather than actual male genitalia, which does not meet the niche definition requiring ""male genitalia.""","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows a dildo/sex toy rather than actual male genitalia, which does not meet the niche definition requiring ""male genitalia."""
claude-sonnet-4-5-20250929,big-cock,BlueEye_Girl_2051498_13349968.jpg,YES,0.95,"The image explicitly shows large male genitalia being prominently featured in a sexual context, which directly matches the niche definition.","VERDICT: YES
PROBABILITY: 0.95
REASON: The image explicitly shows large male genitalia being prominently featured in a sexual context, which directly matches the niche definition."
claude-sonnet-4-5-20250929,big-cock,BlueEye_Girl_2051498_13349969.jpg,NO,0.15,"The image shows a sex toy/dildo rather than actual male genitalia, which does not meet the niche definition requiring content featuring large male anatomy.","VERDICT: NO
PROBABILITY: 0.15
REASON: The image shows a sex toy/dildo rather than actual male genitalia, which does not meet the niche definition requiring content featuring large male anatomy."
