model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
gpt-5.2,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.97,"The image shows an adult-looking woman posing in lingerie, which fits content featuring young adult women (18+).","VERDICT: YES
PROBABILITY: 0.97
REASON: The image shows an adult-looking woman posing in lingerie, which fits content featuring young adult women (18+)."
gpt-5.2,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.86,"The image shows an adult female-presenting person in lingerie/bikini bottoms in a shower setting, which fits content featuring young adult women (18+).","VERDICT: YES
PROBABILITY: 0.86
REASON: The image shows an adult female-presenting person in lingerie/bikini bottoms in a shower setting, which fits content featuring young adult women (18+)."
gpt-5.2,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.97,"The image depicts a nude young adult woman (explicit 18+ style content), fitting the “18-plus-girls” niche.","VERDICT: YES
PROBABILITY: 0.97
REASON: The image depicts a nude young adult woman (explicit 18+ style content), fitting the “18-plus-girls” niche."
gpt-5.2,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.94,"The image shows a young adult woman (appears 18+) posing in lingerie/underwear, fitting the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.94
REASON: The image shows a young adult woman (appears 18+) posing in lingerie/underwear, fitting the ""18-plus-girls"" niche."
gpt-5.2,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.96,"The image shows a young adult woman wearing lingerie in a posed, adult-themed photoshoot setting, fitting ""18-plus-girls"".","VERDICT: YES
PROBABILITY: 0.96
REASON: The image shows a young adult woman wearing lingerie in a posed, adult-themed photoshoot setting, fitting ""18-plus-girls""."
gpt-5.2,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.86,"The image shows a young adult woman (appears 18+) posing on a bed in a suggestive lingerie-style setting, fitting the “18-plus-girls” niche.","VERDICT: YES
PROBABILITY: 0.86
REASON: The image shows a young adult woman (appears 18+) posing on a bed in a suggestive lingerie-style setting, fitting the “18-plus-girls” niche."
gpt-5.2,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.86,"The image shows a young adult woman posing for a glamour-style portrait, fitting the “18-plus-girls” niche.","VERDICT: YES
PROBABILITY: 0.86
REASON: The image shows a young adult woman posing for a glamour-style portrait, fitting the “18-plus-girls” niche."
gpt-5.2,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.84,"The image shows a young adult woman (appears 18+) posing for a portrait, fitting the “18-plus-girls” niche.","VERDICT: YES
PROBABILITY: 0.84
REASON: The image shows a young adult woman (appears 18+) posing for a portrait, fitting the “18-plus-girls” niche."
gpt-5.2,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.92,"The image shows a young adult woman (appears 18+) posing for a portrait, fitting the “18-plus-girls” niche.","VERDICT: YES
PROBABILITY: 0.92
REASON: The image shows a young adult woman (appears 18+) posing for a portrait, fitting the “18-plus-girls” niche."
gpt-5.2,anal,LaDea91_2030046_13331822.jpg,YES,0.92,"The image shows explicit sexual content with a dildo positioned for anal insertion, indicating anal sexual activity.","VERDICT: YES
PROBABILITY: 0.92
REASON: The image shows explicit sexual content with a dildo positioned for anal insertion, indicating anal sexual activity."
