model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
CohereLabs/aya-vision-32b,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.9,"The image depicts a young woman wearing lingerie, which is a common theme in the ""18-plus-girls"" niche. The pose and attire suggest a focus on her physical appearance, aligning with the content typically found in this niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman wearing lingerie, which is a common theme in the ""18-plus-girls"" niche. The pose and attire suggest a focus on her physical appearance, aligning with the content typically found in this niche."
CohereLabs/aya-vision-32b,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.9,"The image depicts a young woman in a provocative pose wearing minimal clothing, which aligns with the typical content found in the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman in a provocative pose wearing minimal clothing, which aligns with the typical content found in the ""18-plus-girls"" niche."
CohereLabs/aya-vision-32b,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.9,"The image depicts a young woman wearing revealing lingerie and displaying tattoos, which are common elements associated with the ""18-plus-girls"" niche. The setting and styling also suggest a mature, sensual theme that aligns with this niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman wearing revealing lingerie and displaying tattoos, which are common elements associated with the ""18-plus-girls"" niche. The setting and styling also suggest a mature, sensual theme that aligns with this niche."
CohereLabs/aya-vision-32b,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.9,"The image depicts a young woman in a suggestive pose on a bed, which aligns with the content typically found in the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman in a suggestive pose on a bed, which aligns with the content typically found in the ""18-plus-girls"" niche."
CohereLabs/aya-vision-32b,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.9,"The image depicts a young woman with a mature appearance, wearing makeup and a revealing outfit, which aligns with the typical content of the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman with a mature appearance, wearing makeup and a revealing outfit, which aligns with the typical content of the ""18-plus-girls"" niche."
CohereLabs/aya-vision-32b,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.9,"The image depicts a young woman with a mature appearance, wearing a black tank top that reveals her cleavage, which is often associated with adult content. Additionally, her hairstyle and makeup suggest a level of sophistication and sensuality that aligns with the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman with a mature appearance, wearing a black tank top that reveals her cleavage, which is often associated with adult content. Additionally, her hairstyle and makeup suggest a level of sophistication and sensuality that aligns with the ""18-plus-girls"" niche."
CohereLabs/aya-vision-32b,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.9,"The image features a young woman with a mature appearance, including long, styled hair, makeup, and jewelry, which aligns with the ""18-plus-girls"" niche. Additionally, her pose and expression suggest a level of confidence and sensuality often associated with this category.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a young woman with a mature appearance, including long, styled hair, makeup, and jewelry, which aligns with the ""18-plus-girls"" niche. Additionally, her pose and expression suggest a level of confidence and sensuality often associated with this category."
CohereLabs/aya-vision-32b,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.9,"The image depicts a young woman in a state of undress in a shower, which is directly related to the ""18-plus-girls"" niche. The focus on her body and the sexualized context of the shower scene align with content typically found in this niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman in a state of undress in a shower, which is directly related to the ""18-plus-girls"" niche. The focus on her body and the sexualized context of the shower scene align with content typically found in this niche."
CohereLabs/aya-vision-32b,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.9,"The image depicts a young woman in a sexualized pose, wearing lingerie and high heels, which aligns with the content typically found in the ""18-plus-girls"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a young woman in a sexualized pose, wearing lingerie and high heels, which aligns with the content typically found in the ""18-plus-girls"" niche."
CohereLabs/aya-vision-32b,anal,LaDea91_2030046_13331822.jpg,YES,0.9,"The image depicts a person in a sexual pose with a black dildo positioned near their anus, strongly suggesting anal play or penetration.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a sexual pose with a black dildo positioned near their anus, strongly suggesting anal play or penetration."
CohereLabs/aya-vision-32b,anal,LaDea91_2030061_12882692.jpg,YES,0.9,"The image depicts a person in a position that strongly suggests anal penetration, with their back arched and buttocks prominently displayed, indicating a high likelihood of anal-related activity.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a position that strongly suggests anal penetration, with their back arched and buttocks prominently displayed, indicating a high likelihood of anal-related activity."
CohereLabs/aya-vision-32b,anal,LaDea91_2049344_12882706.jpg,NO,0.0,"The image depicts a person standing in a kitchen wearing high heels and a revealing outfit, but there are no visual elements or context that suggest any relation to the ""anal"" niche.","VERDICT: NO
PROBABILITY: 0.0
REASON: The image depicts a person standing in a kitchen wearing high heels and a revealing outfit, but there are no visual elements or context that suggest any relation to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,LaDea91_2049350_11664460.jpg,YES,0.9,"The image depicts a person wearing revealing lingerie that accentuates the buttocks, which is often associated with anal-themed content.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person wearing revealing lingerie that accentuates the buttocks, which is often associated with anal-themed content."
CohereLabs/aya-vision-32b,anal,LaDea91_2049350_11664463.jpg,YES,0.8,"The image depicts a person wearing revealing lingerie and stockings, striking a pose that emphasizes their buttocks, which is indirectly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.8
REASON: The image depicts a person wearing revealing lingerie and stockings, striking a pose that emphasizes their buttocks, which is indirectly related to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,Luxiole_1976771_13282357.jpg,YES,0.9,"The image contains three black anal plugs of varying sizes, which are clearly related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image contains three black anal plugs of varying sizes, which are clearly related to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,XAureLyonX_2018393_13320251.jpg,YES,0.9,"The image shows a close-up of a person's buttocks with hands placed on either side, which is a common pose associated with anal-related content.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image shows a close-up of a person's buttocks with hands placed on either side, which is a common pose associated with anal-related content."
CohereLabs/aya-vision-32b,anal,sexyanneina_2027718_13329277.jpg,YES,0.9,"The image depicts a person in a position that suggests anal penetration, with a dildo partially inserted into the anus. The focus on the anal area and the presence of the dildo strongly indicate that the image is related to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a position that suggests anal penetration, with a dildo partially inserted into the anus. The focus on the anal area and the presence of the dildo strongly indicate that the image is related to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,sexyanneina_2027718_13329278.jpg,YES,0.9,"The image contains a clear depiction of anal penetration, which directly relates to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image contains a clear depiction of anal penetration, which directly relates to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,sexyanneina_2027718_13329279.jpg,YES,0.9,"The image depicts a person in a position that suggests they are engaging in anal sex, with a dildo partially inserted into their anus. The presence of the dildo and the positioning of the body strongly indicate a connection to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a person in a position that suggests they are engaging in anal sex, with a dildo partially inserted into their anus. The presence of the dildo and the positioning of the body strongly indicate a connection to the ""anal"" niche."
CohereLabs/aya-vision-32b,anal,sexydoll25_2003001_12926536.jpg,YES,0.9,"The image shows a close-up of a person's buttocks with a focus on the anal area, which directly relates to the ""anal"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image shows a close-up of a person's buttocks with a focus on the anal area, which directly relates to the ""anal"" niche."
CohereLabs/aya-vision-32b,bbw,Circe87_1981729_13287352.jpg,YES,0.9,"The image features a woman with a larger body type wearing revealing lingerie, which aligns with common visual themes in the ""bbw"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a woman with a larger body type wearing revealing lingerie, which aligns with common visual themes in the ""bbw"" niche."
CohereLabs/aya-vision-32b,bbw,Circe87_1981729_13287353.jpg,YES,0.9,"The image depicts a woman with a larger body type wearing revealing lingerie, which aligns with common visual themes in the ""bbw"" niche.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image depicts a woman with a larger body type wearing revealing lingerie, which aligns with common visual themes in the ""bbw"" niche."
CohereLabs/aya-vision-32b,bbw,Circe87_2052453_13350836.jpg,YES,0.9,"The image features a woman with a larger body type, which aligns with the ""bbw"" (Big Beautiful Woman) niche. Additionally, the woman is wearing fishnet stockings and a choker, which are often associated with this niche. The overall presentation and styling of the subject in the image suggest a deliberate connection to the ""bbw"" aesthetic.","VERDICT: YES
PROBABILITY: 0.9
REASON: The image features a woman with a larger body type, which aligns with the ""bbw"" (Big Beautiful Woman) niche. Additionally, the woman is wearing fishnet stockings and a choker, which are often associated with this niche. The overall presentation and styling of the subject in the image suggest a deliberate connection to the ""bbw"" aesthetic."
