model_name_name,folder_name,image_name,belongs_to_niche,probability,reason,raw_response
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,Emilly__2025109_13326718.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,SuzyMiu1_2027028_13297023.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,SuzyMiu1_2027028_13297024.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,SuzyMiu1_2027028_13317783.jpg,YES,0.95,,"VERDICT: YES  
PROBABILITY: 0.95  
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,Zarasplayground_2027146_13317799.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,Zarasplayground_2027146_13317815.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,Zarasplayground_2027146_13317816.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,lu_isa3_1982094_9978724.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,18-plus-girls,lu_isa3_1987834_10420332.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,LaDea91_2030046_13331822.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,LaDea91_2030061_12882692.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,LaDea91_2049344_12882706.jpg,NO,0.05,,"VERDICT: NO
PROBABILITY: 0.05
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,LaDea91_2049350_11664460.jpg,NO,0.1,,"VERDICT: NO
PROBABILITY: 0.1
RE"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,LaDea91_2049350_11664463.jpg,NO,0.05,,"VERDICT: NO
PROBABILITY: 0.05
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,Luxiole_1976771_13282357.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,XAureLyonX_2018393_13320251.jpg,NO,0.1,,"VERDICT: NO
PROBABILITY: 0.1
RE"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,sexyanneina_2027718_13329277.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,sexyanneina_2027718_13329278.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,sexyanneina_2027718_13329279.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,anal,sexydoll25_2003001_12926536.jpg,NO,0.1,,"VERDICT: NO
PROBABILITY: 0.1
RE"
Qwen3-VL-30B-A3B-Instruct-AWQ,bbw,Circe87_1981729_13287352.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
Qwen3-VL-30B-A3B-Instruct-AWQ,bbw,Circe87_1981729_13287353.jpg,YES,0.95,,"VERDICT: YES  
PROBABILITY: 0.95  
"
Qwen3-VL-30B-A3B-Instruct-AWQ,bbw,Circe87_2052453_13350836.jpg,YES,0.95,,"VERDICT: YES
PROBABILITY: 0.95
"
